21.167,77.841,157,156,2,11.1
23.602,19.932,307,304,1,2.8
0.52078,30.772,281,281,2,6.4
1.5946,45.454,128,127,1,6.6
34.824,29.845,192,192,2,3.05
23.485,13.658,226,226,1,7.35
-5.6441,-71.271,278,278,2,8.4
34.205,24.981,297,297,1,6.7
38.085,18.366,145,145,2,6.65
42.895,-42.039,73,73,1,6.65
-4.6048,-2.451,186,186,2,6.35
47.358,-20.267,313,314,1,5.6
86.222,65.484,270,270,2,4.4
42.798,50.789,229,229,1,8.7
71.799,66.679,151,151,2,5.7
41.984,4.9464,203,203,1,3.2
100.31,68.814,211,211,2,2.45
55.323,46.334,238,236,1,7.5
87.61,89.254,254,255,2,18.2
1.8332,-3.3361,216,216,1,6.3
32.006,-160.83,306,306,2,17.3
124.74,86.507,212,212,2,1.7
121.73,8.5476,227,227,1,9.45
24.801,-9.5909,238,239,2,19.4
73.076,32.624,178,178,1,15.85
82.503,-11.956,219,218,2,3.6
-53.68,-136.71,211,211,1,11.4
-5.972,-36.927,281,281,2,3.1
-112.4,48.532,227,225,1,11.55
